Reading data file... Done.
At first generation, Best: 342, Worst: 451 delta: 109 Avg: 414.17
After 100 generations, Best: 250, Worst: 250 delta: 0 Avg: 250.00
After 200 generations, Best: 250, Worst: 250 delta: 0 Avg: 250.00
After 300 generations, Best: 250, Worst: 250 delta: 0 Avg: 250.00
After 400 generations, Best: 250, Worst: 250 delta: 0 Avg: 250.00
After 500 generations, Best: 250, Worst: 250 delta: 0 Avg: 250.00
After 600 generations, Best: 250, Worst: 250 delta: 0 Avg: 250.00
After 700 generations, Best: 250, Worst: 250 delta: 0 Avg: 250.00
After 800 generations, Best: 250, Worst: 250 delta: 0 Avg: 250.00
After 900 generations, Best: 250, Worst: 250 delta: 0 Avg: 250.00
After 1000 generations, Best: 250, Worst: 250 delta: 0 Avg: 250.00
After 1100 generations, Best: 250, Worst: 250 delta: 0 Avg: 250.00
After 1200 generations, Best: 250, Worst: 250 delta: 0 Avg: 250.00
After 1300 generations, Best: 250, Worst: 250 delta: 0 Avg: 250.00
After 1400 generations, Best: 250, Worst: 250 delta: 0 Avg: 250.00
After 1500 generations, Best: 250, Worst: 250 delta: 0 Avg: 250.00
After 1600 generations, Best: 250, Worst: 250 delta: 0 Avg: 250.00
After 1700 generations, Best: 250, Worst: 250 delta: 0 Avg: 250.00
After 1800 generations, Best: 250, Worst: 250 delta: 0 Avg: 250.00
After 1900 generations, Best: 250, Worst: 250 delta: 0 Avg: 250.00
After 2000 generations, Best: 250, Worst: 250 delta: 0 Avg: 250.00
After 2100 generations, Best: 250, Worst: 250 delta: 0 Avg: 250.00
After 2200 generations, Best: 250, Worst: 250 delta: 0 Avg: 250.00
After 2300 generations, Best: 250, Worst: 250 delta: 0 Avg: 250.00
After 2400 generations, Best: 250, Worst: 250 delta: 0 Avg: 250.00
After 2500 generations, Best: 250, Worst: 250 delta: 0 Avg: 250.00
After 2600 generations, Best: 250, Worst: 250 delta: 0 Avg: 250.00
After 2700 generations, Best: 250, Worst: 250 delta: 0 Avg: 250.00
After 2800 generations, Best: 250, Worst: 250 delta: 0 Avg: 250.00
After 2900 generations, Best: 250, Worst: 250 delta: 0 Avg: 250.00
After 3000 generations, Best: 250, Worst: 250 delta: 0 Avg: 250.00
After 3100 generations, Best: 250, Worst: 250 delta: 0 Avg: 250.00
After 3200 generations, Best: 250, Worst: 250 delta: 0 Avg: 250.00
After 3300 generations, Best: 250, Worst: 250 delta: 0 Avg: 250.00
After 3400 generations, Best: 250, Worst: 250 delta: 0 Avg: 250.00
After 3500 generations, Best: 250, Worst: 250 delta: 0 Avg: 250.00
After 3600 generations, Best: 250, Worst: 250 delta: 0 Avg: 250.00
After 3700 generations, Best: 250, Worst: 250 delta: 0 Avg: 250.00
After 3800 generations, Best: 250, Worst: 250 delta: 0 Avg: 250.00
After 3900 generations, Best: 250, Worst: 250 delta: 0 Avg: 250.00
After 4000 generations, Best: 250, Worst: 250 delta: 0 Avg: 250.00
After 4100 generations, Best: 250, Worst: 250 delta: 0 Avg: 250.00
After 4200 generations, Best: 250, Worst: 250 delta: 0 Avg: 250.00
After 4300 generations, Best: 250, Worst: 250 delta: 0 Avg: 250.00
After 4400 generations, Best: 250, Worst: 250 delta: 0 Avg: 250.00
After 4500 generations, Best: 250, Worst: 250 delta: 0 Avg: 250.00
After 4600 generations, Best: 250, Worst: 250 delta: 0 Avg: 250.00
After 4700 generations, Best: 250, Worst: 250 delta: 0 Avg: 250.00
After 4800 generations, Best: 250, Worst: 250 delta: 0 Avg: 250.00
After 4900 generations, Best: 250, Worst: 250 delta: 0 Avg: 250.00
After 5000 generations, Best: 250, Worst: 250 delta: 0 Avg: 250.00
After 5100 generations, Best: 250, Worst: 250 delta: 0 Avg: 250.00
After 5200 generations, Best: 250, Worst: 250 delta: 0 Avg: 250.00
After 5300 generations, Best: 250, Worst: 250 delta: 0 Avg: 250.00
After 5400 generations, Best: 250, Worst: 250 delta: 0 Avg: 250.00
After 5500 generations, Best: 250, Worst: 250 delta: 0 Avg: 250.00
After 5600 generations, Best: 250, Worst: 250 delta: 0 Avg: 250.00
After 5700 generations, Best: 250, Worst: 250 delta: 0 Avg: 250.00
After 5800 generations, Best: 250, Worst: 250 delta: 0 Avg: 250.00
After 5900 generations, Best: 250, Worst: 250 delta: 0 Avg: 250.00
After 6000 generations, Best: 250, Worst: 250 delta: 0 Avg: 250.00
